participant,task,trial,choice,correct_choice,reward,block,condition,category,object,all_features,feature1,feature2,feature3
0,0,30,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,31,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,32,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,33,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,34,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,35,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,36,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,37,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,38,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,39,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,40,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,41,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,42,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,43,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,44,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,45,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,46,f,j,-1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,47,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,48,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,49,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,50,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,51,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,52,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,53,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,54,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,55,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,56,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,57,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,58,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,59,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,60,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,61,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,62,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,63,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,64,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,65,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,66,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,67,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,68,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,69,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,70,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,71,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,72,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,73,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,74,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,75,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,76,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,77,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,78,f,j,-1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,79,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,80,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,81,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,82,f,f,1.0,0,1,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,83,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,84,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,85,j,j,1.0,0,1,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,86,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,87,j,j,1.0,0,1,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,88,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,89,j,j,1.0,0,1,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,90,j,j,1.0,0,1,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,91,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,92,f,f,1.0,0,1,0,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,93,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,94,f,f,1.0,0,1,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,95,f,f,1.0,0,1,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,96,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,97,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,98,j,j,1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,99,f,f,1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,100,j,f,-1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,101,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,102,j,f,-1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,103,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,104,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,105,f,f,1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,106,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,107,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,108,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,109,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,110,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,111,f,j,-1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,112,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,113,j,f,-1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,114,f,f,1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,115,f,j,-1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,116,j,j,1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,117,f,j,-1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,118,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,119,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,120,j,f,-1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,121,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,122,f,f,1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,123,f,j,-1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,124,f,j,-1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,125,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,126,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,127,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,128,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,129,j,f,-1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,130,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,131,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,132,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,133,j,f,-1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,134,j,j,1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,135,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,136,f,j,-1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,137,j,f,-1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,138,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,139,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,140,j,j,1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,141,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,142,j,f,-1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,143,j,j,1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,144,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,145,j,j,1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,146,j,f,-1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,147,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,148,j,j,1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,149,j,f,-1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,150,f,f,1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,151,j,j,1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,152,f,j,-1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,153,j,f,-1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,154,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,155,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,156,j,j,1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,157,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,158,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,159,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,160,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,161,j,j,1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,162,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,163,j,f,-1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,164,j,j,1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,165,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,166,j,f,-1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,167,f,j,-1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,168,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,169,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,170,j,f,-1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,171,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,172,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,173,j,f,-1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,174,f,j,-1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,175,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,176,j,f,-1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,177,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,178,f,f,1.0,1,2,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,179,j,j,1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,180,j,f,-1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,181,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,182,f,f,1.0,1,2,0,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,183,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,184,f,j,-1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,185,f,f,1.0,1,2,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,186,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,187,f,j,-1.0,1,2,1,Big Black Square,"[1, 1, 1]",1,1,1
0,0,188,f,f,1.0,1,2,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,189,f,j,-1.0,1,2,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,190,f,j,-1.0,1,2,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,191,j,j,1.0,1,2,1,Small White Square,"[0, 0, 1]",0,0,1
0,0,192,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,193,f,j,-1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,194,f,j,-1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,195,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,196,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,197,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,198,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,199,j,f,-1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,200,j,j,1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,201,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,202,f,j,-1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,203,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,204,j,f,-1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,205,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,206,f,j,-1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,207,f,j,-1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,208,j,f,-1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,209,f,j,-1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,210,j,j,1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,211,f,j,-1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,212,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,213,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,214,j,f,-1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,215,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,216,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,217,f,j,-1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,218,j,f,-1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,219,j,f,-1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,220,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,221,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,222,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,223,j,j,1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,224,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,225,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,226,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,227,j,j,1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,228,f,j,-1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,229,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,230,f,j,-1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,231,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,232,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,233,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,234,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,235,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,236,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,237,j,j,1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,238,f,j,-1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,239,j,f,-1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,240,f,j,-1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,241,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,242,j,f,-1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,243,j,j,1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,244,f,j,-1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,245,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,246,j,f,-1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,247,j,f,-1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,248,j,j,1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,249,j,j,1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,250,f,j,-1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,251,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,252,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,253,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,254,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,255,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,256,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,257,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,258,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,259,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,260,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,261,f,j,-1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,262,f,j,-1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,263,f,f,1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,264,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,265,f,j,-1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,266,j,j,1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,267,j,j,1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,268,j,f,-1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,269,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,270,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,271,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,272,j,j,1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,273,j,j,1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,274,f,j,-1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,275,j,f,-1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,276,f,f,1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,277,f,f,1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,278,f,f,1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,279,j,j,1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,280,j,j,1.0,2,3,1,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,281,j,f,-1.0,2,3,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,282,j,f,-1.0,2,3,0,Small Black Square,"[0, 1, 1]",0,1,1
0,0,283,f,j,-1.0,2,3,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,284,f,j,-1.0,2,3,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,285,j,f,-1.0,2,3,0,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,286,f,j,-1.0,2,3,1,Big White Square,"[1, 0, 1]",1,0,1
0,0,287,j,f,-1.0,2,3,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,288,j,j,1.0,3,4,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,289,f,j,-1.0,3,4,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,290,j,f,-1.0,3,4,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,291,j,j,1.0,3,4,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,292,j,j,1.0,3,4,1,Small Black Square,"[0, 1, 1]",0,1,1
0,0,293,f,f,1.0,3,4,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,294,f,f,1.0,3,4,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,295,j,f,-1.0,3,4,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,296,j,j,1.0,3,4,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,297,f,f,1.0,3,4,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,298,f,f,1.0,3,4,0,Big White Square,"[1, 0, 1]",1,0,1
0,0,299,j,f,-1.0,3,4,0,Small White Square,"[0, 0, 1]",0,0,1
0,0,300,f,j,-1.0,3,4,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,301,j,j,1.0,3,4,1,Small Black Triangle,"[0, 1, 0]",0,1,0
0,0,302,j,j,1.0,3,4,1,Small Black Square,"[0, 1, 1]",0,1,1
0,0,303,f,f,1.0,3,4,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,304,j,j,1.0,3,4,1,Small Black Square,"[0, 1, 1]",0,1,1
0,0,305,f,f,1.0,3,4,0,Big Black Square,"[1, 1, 1]",1,1,1
0,0,306,j,j,1.0,3,4,1,Small White Triangle,"[0, 0, 0]",0,0,0
0,0,307,f,j,-1.0,3,4,1,Big Black Triangle,"[1, 1, 0]",1,1,0
0,0,308,f,f,1.0,3,4,0,Big White Triangle,"[1, 0, 0]",1,0,0
0,0,309,j,j,1.0,3,4,1,Small Black Triangle,"[0, 1, 0]",0,1,0
