input,target,trial_id,task_id
"[8.11, 3.21, 2.39, 1.23]",60.19,13,5
"[6.83, 2.99, 2.31, 1.19]",53.39,14,5
"[9.21, 4.39, 3.69, 2.39]",183.11,15,5
"[7.45, 3.29, 2.59, 1.39]",64.91,16,5
"[11.49, 5.89, 4.99, 3.39]",313.91,17,5
"[8.79, 3.99, 3.19, 1.79]",94.19,18,5
"[6.59, 2.79, 2.13, 1.03]",50.11,19,5
"[5.21, 8.15, 3.85, 2.11]",73.92,0,7
"[3.14, 5.62, 2.91, 4.33]",61.35,1,7
"[6.53, 9.87, 4.27, 1.98]",79.15,2,7
"[2.98, 4.25, 3.19, 5.01]",57.42,3,7
"[7.31, 10.39, 5.53, 2.59]",83.61,4,7
"[4.62, 7.03, 3.51, 3.85]",68.92,5,7
"[5.85, 9.14, 4.95, 2.31]",76.19,6,7
"[3.49, 5.91, 2.67, 4.69]",63.58,7,7
"[6.92, 10.62, 5.11, 2.17]",84.95,8,7
"[3.83, 6.51, 3.93, 3.23]",65.15,9,7
"[7.59, 11.04, 5.79, 2.83]",87.49,10,7
"[5.04, 8.45, 4.39, 2.67]",72.51,11,7
"[3.25, 5.39, 2.85, 4.91]",60.92,12,7
"[6.19, 9.59, 4.73, 2.51]",78.83,13,7
"[4.11, 6.93, 3.67, 3.49]",66.49,14,7
"[7.11, 10.83, 5.35, 2.93]",85.67,15,7
"[5.47, 8.71, 4.59, 2.39]",74.29,16,7
"[3.61, 5.75, 3.01, 4.55]",62.85,17,7
"[6.65, 10.19, 5.01, 2.75]",80.53,18,7
"[4.39, 7.23, 3.85, 3.65]",67.92,19,7
"[35.21, 2.48, 7.19, 1.85]",12567.39,0,9
"[20.93, 4.11, 5.62, 3.14]",10123.19,1,9
"[42.15, 1.93, 8.51, 2.67]",13895.61,2,9
"[27.84, 3.29, 6.38, 2.41]",11459.28,3,9
"[50.11, 2.61, 9.83, 3.92]",15321.95,4,9
"[32.59, 4.55, 7.92, 1.19]",12941.81,5,9
"[23.71, 3.83, 5.95, 2.98]",10589.32,6,9
"[38.42, 2.19, 8.19, 3.51]",13291.48,7,9
"[45.87, 3.07, 9.29, 2.13]",14819.67,8,9
"[29.18, 4.27, 6.71, 1.63]",11831.49,9,9
"[51.94, 2.85, 10.31, 4.11]",15982.13,10,9
"[25.49, 3.59, 5.38, 3.25]",10853.18,11,9
"[41.19, 2.51, 8.92, 2.87]",14451.93,12,9
"[33.83, 4.81, 7.15, 1.41]",12419.72,13,9
"[48.63, 2.97, 9.57, 3.69]",15261.29,14,9
"[26.93, 3.11, 5.82, 2.59]",11189.14,15,9
"[39.85, 2.35, 8.63, 3.03]",13619.52,16,9
"[53.19, 3.49, 10.83, 4.39]",16439.59,17,9
"[30.52, 4.03, 6.93, 1.85]",12139.81,18,9
"[44.91, 2.67, 9.13, 2.79]",14951.34,19,9
"[1150.0, 3.7, 5.0, 7.0]",0.82,0,10
"[980.0, 3.2, 3.0, 5.0]",0.63,1,10
"[1350.0, 3.9, 7.0, 9.0]",0.93,2,10
"[1050.0, 3.4, 4.0, 6.0]",0.75,3,10
"[1200.0, 3.6, 6.0, 8.0]",0.86,4,10
"[900.0, 3.1, 2.0, 4.0]",0.59,5,10
"[1100.0, 3.5, 5.0, 7.0]",0.81,6,10
"[1250.0, 3.8, 8.0, 10.0]",0.96,7,10
"[1000.0, 3.3, 3.0, 5.0]",0.71,8,10
"[1300.0, 3.9, 9.0, 11.0]",0.98,9,10
"[950.0, 3.2, 2.0, 4.0]",0.64,10,10
"[1180.0, 3.6, 7.0, 9.0]",0.89,11,10
"[1020.0, 3.4, 4.0, 6.0]",0.77,12,10
"[1220.0, 3.7, 8.0, 10.0]",0.92,13,10
"[1080.0, 3.5, 5.0, 7.0]",0.84,14,10
"[990.0, 3.3, 3.0, 5.0]",0.72,15,10
"[1280.0, 3.9, 10.0, 12.0]",1.01,16,10
"[940.0, 3.1, 2.0, 4.0]",0.61,17,10
"[1130.0, 3.6, 6.0, 8.0]",0.87,18,10
"[1060.0, 3.4, 4.0, 6.0]",0.79,19,10
"[75.21, 28.14, 6.32, 0.81]",63.51,0,11
"[68.93, 24.87, 5.91, 0.94]",58.29,1,11
"[71.39, 26.42, 6.56, 0.88]",61.19,2,11
"[76.54, 29.31, 6.79, 0.83]",65.43,3,11
"[70.17, 25.63, 6.19, 0.91]",59.53,4,11
"[73.85, 27.51, 6.41, 0.85]",62.39,5,11
"[69.49, 25.11, 5.97, 0.92]",57.95,6,11
"[77.89, 30.62, 7.04, 0.81]",67.29,7,11
"[72.61, 26.89, 6.67, 0.87]",63.81,8,11
"[74.19, 28.38, 6.53, 0.84]",64.51,9,11
"[67.13, 23.45, 5.51, 0.95]",55.49,10,11
"[75.93, 29.85, 6.99, 0.82]",66.51,11,11
"[71.75, 26.15, 6.23, 0.89]",60.63,12,11
"[78.43, 31.29, 7.23, 0.79]",68.49,13,11
"[70.51, 25.81, 6.11, 0.9]",59.01,14,11
"[73.27, 27.23, 6.35, 0.86]",61.91,15,11
"[69.01, 24.59, 5.83, 0.93]",56.99,16,11
"[76.19, 29.09, 6.73, 0.83]",65.01,17,11
"[72.39, 26.59, 6.49, 0.87]",62.59,18,11
"[74.85, 28.69, 6.81, 0.84]",65.19,19,11
"[342.0, 175.0, 0.7, 85.0]",92.1,0,12
"[219.0, 190.0, 0.5, 91.0]",83.4,1,12
"[305.0, 165.0, 0.8, 78.0]",95.2,2,12
"[251.0, 140.0, 0.6, 87.0]",89.5,3,12
"[391.0, 200.0, 0.9, 82.0]",98.5,4,12
"[181.0, 155.0, 0.4, 94.0]",80.1,5,12
"[267.0, 185.0, 0.7, 76.0]",91.9,6,12
"[325.0, 170.0, 0.8, 89.0]",94.8,7,12
"[236.0, 195.0, 0.6, 81.0]",87.2,8,12
"[399.0, 210.0, 0.9, 79.0]",99.1,9,12
"[193.0, 160.0, 0.5, 92.0]",82.5,10,12
"[281.0, 180.0, 0.7, 84.0]",92.6,11,12
"[359.0, 190.0, 0.8, 86.0]",96.3,12,12
"[244.0, 200.0, 0.6, 77.0]",88.5,13,12
"[422.0, 220.0, 0.9, 80.0]",100.2,14,12
"[209.0, 165.0, 0.5, 95.0]",84.2,15,12
"[313.0, 195.0, 0.7, 83.0]",94.1,16,12
"[276.0, 185.0, 0.6, 90.0]",91.5,17,12
"[437.0, 230.0, 0.9, 81.0]",101.1,18,12
"[227.0, 175.0, 0.5, 96.0]",85.9,19,12
"[299.0, 205.0, 0.7, 85.0]",93.8,20,12
"[0.62, 18.4, 7.1, 0.83]",0.45,0,14
"[0.41, 12.1, 5.6, 0.59]",0.21,1,14
"[0.85, 20.5, 9.3, 0.91]",0.63,2,14
"[0.28, 10.2, 4.9, 0.48]",0.13,3,14
"[0.51, 15.8, 6.7, 0.73]",0.35,4,14
"[0.75, 22.1, 10.2, 0.95]",0.58,5,14
"[0.33, 11.5, 5.2, 0.51]",0.19,6,14
"[0.69, 19.3, 8.5, 0.87]",0.52,7,14
"[0.44, 13.9, 6.1, 0.65]",0.29,8,14
"[0.91, 24.2, 11.9, 0.98]",0.73,9,14
"[0.58, 16.4, 7.4, 0.79]",0.43,10,14
"[0.36, 12.7, 5.9, 0.55]",0.23,11,14
"[0.82, 21.9, 10.6, 0.94]",0.61,12,14
"[0.48, 14.2, 6.5, 0.68]",0.32,13,14
"[0.65, 18.1, 8.2, 0.83]",0.49,14,14
"[0.39, 13.3, 6.0, 0.57]",0.26,15,14
"[0.74, 20.7, 9.9, 0.92]",0.56,16,14
"[0.53, 15.2, 7.1, 0.74]",0.38,17,14
"[0.81, 23.1, 11.4, 0.97]",0.67,18,14
"[0.46, 14.9, 7.3, 0.71]",0.33,19,14
"[0.83, 0.21, 0.45, 0.91]",1.23,0,15
"[0.95, 0.65, 0.11, 0.39]",1.81,1,15
"[0.31, 0.58, 0.75, 0.14]",0.59,2,15
"[0.48, 0.32, 0.98, 0.67]",1.04,3,15
"[0.99, 0.43, 0.29, 0.85]",2.11,4,15
"[0.13, 0.71, 0.62, 0.51]",0.83,5,15
"[0.67, 0.19, 0.87, 0.25]",1.46,6,15
"[0.25, 0.96, 0.38, 0.79]",1.69,7,15
"[0.59, 0.54, 0.22, 0.63]",1.25,8,15
"[0.41, 0.89, 0.49, 0.31]",1.91,9,15
"[0.77, 0.15, 0.93, 0.47]",1.67,10,15
"[0.62, 0.68, 0.17, 0.95]",1.54,11,15
"[0.85, 0.46, 0.53, 0.22]",2.04,12,15
"[0.51, 0.27, 0.82, 0.69]",1.39,13,15
"[0.39, 0.81, 0.65, 0.11]",1.18,14,15
"[0.92, 0.59, 0.35, 0.76]",2.29,15,15
"[0.18, 0.94, 0.44, 0.58]",1.51,16,15
"[0.75, 0.33, 0.97, 0.42]",1.96,17,15
"[0.63, 0.49, 0.26, 0.89]",1.62,18,15
"[0.29, 0.74, 0.58, 0.36]",1.44,19,15
"[0.57, 0.88, 0.41, 0.65]",2.17,20,15
"[0.85, 120.0, 0.6, 0.2]",82.1,0,17
"[0.95, 90.0, 0.7, 0.1]",89.5,1,17
"[0.75, 150.0, 0.5, 0.3]",76.2,2,17
"[0.98, 70.0, 0.8, 0.05]",93.1,3,17
"[0.82, 130.0, 0.6, 0.2]",81.3,4,17
"[0.91, 100.0, 0.7, 0.1]",88.5,5,17
"[0.78, 140.0, 0.5, 0.3]",78.1,6,17
"[0.99, 60.0, 0.8, 0.05]",94.2,7,17
"[0.88, 110.0, 0.6, 0.2]",84.2,8,17
"[0.96, 80.0, 0.7, 0.1]",91.1,9,17
"[0.81, 160.0, 0.5, 0.3]",79.5,10,17
"[0.93, 120.0, 0.7, 0.1]",90.3,11,17
"[0.89, 90.0, 0.6, 0.2]",85.8,12,17
"[0.97, 100.0, 0.8, 0.05]",92.8,13,17
"[0.83, 130.0, 0.5, 0.3]",80.9,14,17
"[0.94, 110.0, 0.7, 0.1]",91.9,15,17
"[0.86, 140.0, 0.6, 0.2]",83.6,16,17
"[0.98, 70.0, 0.8, 0.05]",94.1,17,17
"[0.92, 120.0, 0.7, 0.1]",90.5,18,17
"[0.87, 150.0, 0.6, 0.2]",84.9,19,17
"[5432.0, 6.8, 2500.0, 1650.0]",2.1,0,18
"[3421.0, 5.2, 2200.0, 1450.0]",1.3,1,18
"[6011.0, 7.5, 2700.0, 1800.0]",2.8,2,18
"[2890.0, 4.1, 2000.0, 1300.0]",0.9,3,18
"[4785.0, 6.2, 2400.0, 1600.0]",2.0,4,18
"[6198.0, 7.9, 2800.0, 1850.0]",3.1,5,18
"[3956.0, 5.8, 2300.0, 1500.0]",1.7,6,18
"[2678.0, 3.9, 1900.0, 1250.0]",0.7,7,18
"[5123.0, 6.5, 2600.0, 1700.0]",2.4,8,18
"[4419.0, 6.0, 2500.0, 1650.0]",2.2,9,18
"[5839.0, 7.2, 2900.0, 1900.0]",3.0,10,18
"[3234.0, 5.0, 2100.0, 1400.0]",1.1,11,18
"[6542.0, 8.1, 3000.0, 2000.0]",3.4,12,18
"[3990.0, 5.9, 2400.0, 1550.0]",1.9,13,18
"[4751.0, 6.1, 2700.0, 1750.0]",2.6,14,18
"[2921.0, 4.5, 2000.0, 1350.0]",1.0,15,18
"[5713.0, 7.6, 2800.0, 1850.0]",3.2,16,18
"[3598.0, 5.5, 2300.0, 1500.0]",1.6,17,18
"[5278.0, 6.7, 2600.0, 1700.0]",2.5,18,18
"[6115.0, 7.8, 2900.0, 1950.0]",3.3,19,18
"[3.14, 0.87, 1.52, 0.21]",2.41,0,19
"[2.69, 0.49, 1.93, 0.58]",2.17,1,19
"[1.85, 0.93, 1.29, 0.85]",1.98,2,19
"[4.01, 0.61, 1.11, 0.39]",2.83,3,19
"[2.31, 0.75, 1.67, 0.51]",2.03,4,19
"[3.58, 0.53, 1.41, 0.67]",2.55,5,19
"[1.46, 0.89, 1.79, 0.45]",1.82,6,19
"[3.92, 0.43, 1.19, 0.59]",2.69,7,19
"[2.59, 0.81, 1.55, 0.63]",2.23,8,19
"[1.99, 0.95, 1.97, 0.53]",2.04,9,19
"[4.25, 0.69, 1.03, 0.71]",2.93,10,19
"[2.83, 0.57, 1.71, 0.49]",2.41,11,19
"[3.29, 0.91, 1.39, 0.61]",2.63,12,19
"[1.67, 0.83, 1.87, 0.41]",1.93,13,19
"[4.49, 0.65, 1.15, 0.79]",3.07,14,19
"[2.15, 0.73, 1.49, 0.55]",1.99,15,19
"[3.71, 0.59, 1.23, 0.73]",2.81,16,19
"[1.93, 0.97, 1.91, 0.47]",2.09,17,19
"[4.73, 0.71, 1.07, 0.87]",3.21,18,19
"[2.49, 0.79, 1.63, 0.59]",2.25,19,19
"[3.05, 0.85, 1.51, 0.65]",2.49,20,19
"[8.21, 5.98, 3.14, 2.85]",7.42,0,20
"[9.51, 6.31, 2.67, 1.93]",8.19,1,20
"[7.39, 5.46, 3.85, 2.11]",6.82,2,20
"[10.29, 7.18, 2.39, 2.48]",9.01,3,20
"[8.93, 6.64, 3.01, 2.75]",7.93,4,20
"[7.69, 5.81, 3.58, 2.36]",7.15,5,20
"[9.85, 7.45, 2.52, 2.92]",9.35,6,20
"[8.11, 6.09, 3.23, 2.58]",7.49,7,20
"[10.67, 7.83, 2.65, 3.04]",10.11,8,20
"[7.97, 6.25, 3.41, 2.69]",7.62,9,20
"[9.19, 7.02, 2.87, 2.44]",8.54,10,20
"[8.59, 6.51, 3.09, 2.81]",7.81,11,20
"[10.39, 7.69, 2.79, 3.16]",9.83,12,20
"[8.01, 6.03, 3.31, 2.51]",7.38,13,20
"[9.63, 7.35, 2.93, 2.99]",9.21,14,20
"[8.83, 6.76, 3.15, 2.93]",8.13,15,20
"[10.91, 8.05, 2.91, 3.29]",10.59,16,20
"[7.43, 5.67, 3.63, 2.28]",7.03,17,20
"[9.31, 7.15, 2.71, 2.82]",8.85,18,20
"[8.45, 6.39, 3.47, 2.65]",7.71,19,20
"[5.21, 7.85, 3.14, 8.62]",82.19,0,21
"[3.98, 6.29, 4.91, 7.35]",74.11,1,21
"[2.54, 8.47, 2.81, 9.13]",88.51,2,21
"[4.67, 5.93, 5.43, 6.78]",76.39,3,21
"[6.85, 7.19, 3.67, 8.21]",84.52,4,21
"[3.29, 6.51, 4.17, 7.93]",75.18,5,21
"[5.94, 8.13, 3.29, 9.45]",90.17,6,21
"[2.83, 5.67, 5.85, 6.19]",72.95,7,21
"[4.39, 7.39, 4.63, 8.57]",80.39,8,21
"[6.21, 6.85, 3.95, 7.49]",82.75,9,21
"[3.67, 6.93, 4.39, 8.11]",76.67,10,21
"[5.49, 7.93, 3.51, 9.67]",91.49,11,21
"[2.97, 5.81, 5.27, 6.47]",73.23,12,21
"[4.91, 7.59, 4.81, 8.83]",81.91,13,21
"[6.53, 7.17, 4.13, 7.65]",83.35,14,21
"[3.85, 7.03, 4.59, 8.29]",77.39,15,21
"[5.75, 8.29, 3.73, 9.89]",92.75,16,21
"[3.15, 6.39, 4.95, 7.73]",74.59,17,21
"[4.63, 7.79, 4.97, 9.01]",82.13,18,21
"[6.97, 7.51, 4.27, 8.39]",85.51,19,21
"[0.43, 0.91, 0.13, 0.75]",0.51,0,22
"[0.21, 0.67, 0.42, 0.32]",0.38,1,22
"[0.85, 0.19, 0.63, 0.56]",0.71,2,22
"[0.58, 0.85, 0.27, 0.41]",0.63,3,22
"[0.39, 0.48, 0.93, 0.69]",0.45,4,22
"[0.62, 0.71, 0.18, 0.82]",0.59,5,22
"[0.11, 0.94, 0.51, 0.29]",0.33,6,22
"[0.76, 0.31, 0.85, 0.59]",0.73,7,22
"[0.94, 0.55, 0.36, 0.44]",0.81,8,22
"[0.65, 0.23, 0.79, 0.67]",0.62,9,22
"[0.49, 0.88, 0.45, 0.53]",0.56,10,22
"[0.32, 0.61, 0.92, 0.38]",0.42,11,22
"[0.81, 0.46, 0.19, 0.72]",0.69,12,22
"[0.28, 0.98, 0.62, 0.49]",0.41,13,22
"[0.56, 0.79, 0.34, 0.65]",0.59,14,22
"[0.91, 0.39, 0.58, 0.81]",0.83,15,22
"[0.44, 0.52, 0.96, 0.43]",0.49,16,22
"[0.69, 0.64, 0.22, 0.58]",0.66,17,22
"[0.17, 0.83, 0.71, 0.35]",0.36,18,22
"[0.73, 0.27, 0.49, 0.91]",0.72,19,22
"[0.59, 0.95, 0.39, 0.62]",0.64,20,22
"[0.73, 0.28, 0.91, 0.14]",0.85,0,26
"[0.41, 0.67, 0.19, 0.85]",0.62,1,26
"[0.95, 0.51, 0.76, 0.32]",0.93,2,26
"[0.13, 0.83, 0.48, 0.67]",0.43,3,26
"[0.58, 0.39, 0.25, 0.59]",0.51,4,26
"[0.81, 0.62, 0.94, 0.46]",0.87,5,26
"[0.29, 0.71, 0.53, 0.81]",0.59,6,26
"[0.44, 0.25, 0.87, 0.39]",0.65,7,26
"[0.97, 0.48, 0.61, 0.74]",0.95,8,26
"[0.69, 0.93, 0.31, 0.28]",0.79,9,26
"[0.11, 0.56, 0.82, 0.51]",0.37,10,26
"[0.64, 0.79, 0.43, 0.95]",0.73,11,26
"[0.85, 0.31, 0.69, 0.64]",0.83,12,26
"[0.52, 0.44, 0.96, 0.17]",0.68,13,26
"[0.36, 0.65, 0.27, 0.92]",0.54,14,26
"[0.77, 0.59, 0.85, 0.49]",0.82,15,26
"[0.22, 0.88, 0.58, 0.76]",0.49,16,26
"[0.98, 0.72, 0.49, 0.38]",0.97,17,26
"[0.61, 0.34, 0.73, 0.89]",0.71,18,26
"[0.46, 0.91, 0.62, 0.53]",0.66,19,26
"[35.21, 14.85, 2.31, 120.56]",78.94,0,29
"[27.93, 18.29, 3.11, 95.21]",64.51,1,29
"[40.85, 12.14, 2.75, 135.82]",90.19,2,29
"[22.17, 20.43, 2.93, 80.14]",54.75,3,29
"[31.59, 16.27, 2.59, 105.69]",73.42,4,29
"[25.94, 19.81, 3.39, 90.35]",61.19,5,29
"[43.19, 11.95, 2.47, 145.39]",98.65,6,29
"[29.73, 17.39, 2.83, 110.93]",77.15,7,29
"[38.51, 13.67, 2.99, 125.81]",85.51,8,29
"[24.39, 21.11, 3.17, 85.62]",57.91,9,29
"[32.91, 15.53, 2.71, 115.29]",80.38,10,29
"[26.69, 18.93, 3.55, 100.58]",67.29,11,29
"[45.93, 10.83, 2.23, 155.17]",106.19,12,29
"[30.11, 16.91, 2.97, 120.35]",82.75,13,29
"[36.39, 14.29, 3.03, 130.59]",90.93,14,29
"[28.49, 19.49, 3.71, 105.89]",71.49,15,29
"[33.39, 15.19, 2.85, 125.19]",86.39,16,29
"[41.91, 12.59, 2.67, 140.59]",96.91,17,29
"[25.19, 20.79, 3.43, 95.19]",63.19,18,29
"[37.81, 13.39, 3.15, 135.19]",94.81,19,29
"[4.21, 7.93, 3.15, 1.42]",72.11,0,30
"[6.85, 5.67, 4.92, 2.01]",85.39,1,30
"[3.58, 8.21, 2.76, 3.85]",69.23,2,30
"[5.19, 6.32, 5.01, 1.92]",81.17,3,30
"[2.95, 7.11, 3.49, 2.58]",65.95,4,30
"[7.42, 5.94, 4.19, 2.35]",89.51,5,30
"[4.88, 6.58, 3.93, 2.11]",78.69,6,30
"[3.21, 8.53, 2.92, 3.29]",71.42,7,30
"[5.67, 6.01, 4.67, 2.79]",83.85,8,30
"[2.49, 7.42, 3.21, 2.92]",63.19,9,30
"[7.01, 6.26, 4.42, 2.63]",87.13,10,30
"[4.53, 6.85, 4.15, 2.45]",80.37,11,30
"[3.85, 8.19, 3.11, 3.58]",73.59,12,30
"[5.39, 6.49, 4.92, 2.96]",84.28,13,30
"[2.79, 7.63, 3.49, 3.21]",66.58,14,30
"[6.92, 6.13, 4.67, 2.85]",90.19,15,30
"[4.15, 7.01, 3.85, 2.58]",76.95,16,30
"[3.49, 8.47, 2.92, 3.85]",72.81,17,30
"[5.92, 6.67, 5.01, 3.11]",87.62,18,30
"[2.11, 7.85, 3.21, 3.49]",64.39,19,30
"[0.42, 0.73, 0.28, 0.91]",0.67,0,35
"[0.19, 0.41, 0.85, 0.13]",0.31,1,35
"[0.85, 0.19, 0.62, 0.76]",0.93,2,35
"[0.51, 0.67, 0.39, 0.55]",0.62,3,35
"[0.29, 0.83, 0.49, 0.21]",0.53,4,35
"[0.61, 0.35, 0.93, 0.43]",0.75,5,35
"[0.46, 0.59, 0.11, 0.87]",0.65,6,35
"[0.75, 0.27, 0.71, 0.31]",0.83,7,35
"[0.33, 0.91, 0.57, 0.63]",0.72,8,35
"[0.58, 0.45, 0.25, 0.79]",0.68,9,35
"[0.22, 0.53, 0.81, 0.37]",0.44,10,35
"[0.98, 0.11, 0.65, 0.51]",0.94,11,35
"[0.69, 0.77, 0.43, 0.29]",0.79,12,35
"[0.38, 0.65, 0.97, 0.19]",0.59,13,35
"[0.55, 0.39, 0.13, 0.95]",0.63,14,35
"[0.82, 0.51, 0.59, 0.67]",0.88,15,35
"[0.25, 0.81, 0.35, 0.47]",0.41,16,35
"[0.43, 0.63, 0.91, 0.59]",0.73,17,35
"[0.71, 0.23, 0.67, 0.85]",0.81,18,35
"[0.14, 0.95, 0.49, 0.33]",0.38,19,35
"[0.64, 0.71, 0.23, 0.77]",0.76,20,35
"[1.245, 0.35, 12.0, 18.0]",420000,0,36
"[2.21, 0.25, 8.0, 12.0]",370000,1,36
"[3.32, 0.45, 15.0, 22.0]",560000,2,36
"[4.18, 0.2, 10.0, 15.0]",330000,3,36
"[5.29, 0.4, 13.0, 20.0]",510000,4,36
"[6.25, 0.3, 11.0, 18.0]",450000,5,36
"[7.23, 0.28, 9.0, 14.0]",410000,6,36
"[8.3, 0.42, 16.0, 24.0]",580000,7,36
"[9.2, 0.22, 7.0, 11.0]",350000,8,36
"[10.26, 0.32, 12.0, 19.0]",480000,9,36
"[11.27, 0.38, 14.0, 21.0]",500000,10,36
"[12.24, 0.26, 10.0, 16.0]",430000,11,36
"[13.28, 0.36, 13.0, 20.0]",520000,12,36
