,feature_names,target_names,task_id
30,"[' Vibration', ' Stillness']","[' Animals', ' Machines']",30
31,"[' Transparency', ' Opacity']","[' Water', ' Oil']",31
32,"[' Smoothness', ' Roughness']","[' Skins', ' Fabrics']",32
33,"[' Warmth', ' Coolness']","[' Fire', ' Ice']",33
34,"[' Salinity', ' Freshness']","[' Ocean', ' River']",34
35,"[' Brittleness', ' Flexibility']","[' Glass', ' Rubber']",35
36,"[' Lightness', ' Darkness']","[' Day', ' Night']",36
37,"[' Coarseness', ' Fineness']","[' Sand', ' Sugar']",37
38,"[' Haze', ' Clarity']","[' Atmosphere', ' Water']",38
39,"[' Vibrancy', ' Dullness']","[' Colors', ' Grays']",39
40,"[' Angularity', ' Roundness']","[' Machines', ' Toys']",40
41,"[' Solidity', ' Porosity']","[' Bricks', ' Sponges']",41
42,"[' Saturation', ' Desaturation']","[' Colors', ' Grays']",42
43,"[' Loudness', ' Quietness']","[' Music', ' Silence']",43
44,"[' Brightness', ' Dimness']","[' Light', ' Dark']",44
45,"[' Heaviness', ' Lightness']","[' Metals', ' Feathers']",45
46,"[' Width', ' Narrowness']","[' Roads', ' Paths']",46
47,"[' Roughness', ' Smoothness']","[' Skins', ' Fabrics']",47
48,"[' Clarity', ' Distortion']","[' Images', ' Reflections']",48
49,"[' Straightness', ' Curviness']","[' Roads', ' Rivers']",49
50,"[' Fragmentation', ' Unity']","[' Ice', ' Water']",50
51,"[' Vibrancy', ' Dullness']","[' Flowers', ' Rocks']",51
52,"[' Opacity', ' Transparency']","[' Oil', ' Water']",52
53,"[' Proportion', ' Imbalance']","[' Furniture', ' Toys']",53
54,"[' Spikiness', ' Roundness']","[' Cacti', ' Flowers']",54
55,"[' Warmth', ' Coolness']","[' Fire', ' Ice']",55
56,"[' Lightness', ' Darkness']","[' Day', ' Night']",56
57,"[' Saturation', ' Desaturation']","[' Colors', ' Grays']",57
58,"[' Flexibility', ' Rigidness']","[' Rubber', ' Metal']",58
59,"[' Coarseness', ' Fineness']","[' Sand', ' Sugar']",59
60,"[' Angularity', ' Curviness']","[' Machines', ' Furniture']",60
61,"[' Transparency', ' Opacity']","[' Glass', ' Fabric']",61
62,"[' Vibration', ' Stillness']","[' Animals', ' Machines']",62
63,"[' Salinity', ' Freshness']","[' Ocean', ' River']",63
64,"[' Brittleness', ' Flexibility']","[' Glass', ' Rubber']",64
65,"[' Smoothness', ' Roughness']","[' Skins', ' Fabrics']",65
66,"[' Tactility', ' Slipperiness']","[' Fabrics', ' Glass']",66
67,"[' Contour', ' Fill']","[' Buildings', ' Landscapes']",67
68,"[' Length', ' Width']","[' Roads', ' Rivers']",68
69,"[' Width', ' Height']","[' Windows', ' Doors']",69
70,"[' Curviness', ' Straightness']","[' Rivers', ' Roads']",70
71,"[' Glossiness', ' Matteness']","[' Fruits', ' Vegetables']",71
72,"[' Spikiness', ' Roundness']","[' Cacti', ' Flowers']",72
73,"[' Fragmentation', ' Unity']","[' Rocks', ' Mountains']",73
74,"[' Flexibility', ' Rigidness']","[' Rubber', ' Metal']",74
75,"[' Porosity', ' Solidness']","[' Sponges', ' Bricks']",75
76,"[' Tactility', ' Slipperiness']","[' Fabrics', ' Glass']",76
77,"[' Angularity', ' Curviness']","[' Machines', ' Furniture']",77
78,"[' Vibration', ' Stillness']","[' Animals', ' Machines']",78
79,"[' Transparency', ' Opacity']","[' Water', ' Oil']",79
80,"[' Smoothness', ' Roughness']","[' Skins', ' Fabrics']",80
81,"[' Warmth', ' Coolness']","[' Fire', ' Ice']",81
82,"[' Salinity', ' Freshness']","[' Ocean', ' River']",82
83,"[' Brittleness', ' Flexibility']","[' Glass', ' Rubber']",83
84,"[' Lightness', ' Darkness']","[' Day', ' Night']",84
85,"[' Coarseness', ' Fineness']","[' Sand', ' Sugar']",85
86,"[' Haze', ' Clarity']","[' Atmosphere', ' Water']",86
87,"[' Vibrancy', ' Dullness']","[' Colors', ' Grays']",87
88,"[' Angularity', ' Roundness']","[' Machines', ' Toys']",88
89,"[' Solidity', ' Porosity']","[' Bricks', ' Sponges']",89
90,"[' Saturation', ' Desaturation']","[' Colors', ' Grays']",90
91,"[' Loudness', ' Quietness']","[' Music', ' Silence']",91
92,"[' Brightness', ' Dimness']","[' Light', ' Dark']",92
93,"[' Heaviness', ' Lightness']","[' Metals', ' Feathers']",93
94,"[' Width', ' Narrowness']","[' Roads', ' Paths']",94
95,"[' Roughness', ' Smoothness']","[' Skins', ' Fabrics']",95
96,"[' Clarity', ' Distortion']","[' Images', ' Reflections']",96
97,"[' Straightness', ' Curviness']","[' Roads', ' Rivers']",97
98,"[' Fragmentation', ' Unity']","[' Ice', ' Water']",98
99,"[' Texture', ' Shape']","[' Rocky', ' Bubbly']",99
100,"[' Hue', ' Saturation']","[' Floral', ' Metallic']",100
101,"[' Size', ' Orientation']","[' Celestial', ' Terrestrial']",101
102,"[' Smell', ' Taste']","[' Fruity', ' Nutty']",102
103,"[' Pattern', ' Color']","[' Stripey', ' Dotty']",103
104,"[' Length', ' Width']","[' Slender', ' Stubby']",104
105,"[' Temperature', ' Humidity']","[' Misty', ' Steamy']",105
106,"[' Brightness', ' Contrast']","[' Glowing', ' Fading']",106
107,"[' Frequency', ' Amplitude']","[' Melodic', ' Harmonic']",107
108,"[' Material', ' Weight']","[' Light', ' Dense']",108
109,"[' Speed', ' Direction']","[' Swift', ' Meandering']",109
110,"[' Tone', ' Pitch']","[' Resonant', ' Muffled']",110
111,"[' Transparency', ' Reflection']","[' Iridescent', ' Matte']",111
112,"[' Volume', ' Pressure']","[' Loud', ' Muted']",112
113,"[' Distance', ' Angle']","[' Far-off', ' Close-up']",113
114,"[' Flavor', ' Aroma']","[' Zesty', ' Mellow']",114
115,"[' Softness', ' Firmness']","[' Cushy', ' Rigid']",115
116,"[' Clarity', ' Focus']","[' Sharp', ' Blurry']",116
117,"[' Rhythm', ' Beat']","[' Syncopated', ' Steady']",117
118,"[' Warmth', ' Coolness']","[' Balmy', ' Chilly']",118
119,"[' Sound', ' Noise']","[' Harmonious', ' Discordant']",119
120,"[' Lightness', ' Darkness']","[' Radiant', ' Shadowy']",120
121,"[' Odor', ' Scent']","[' Pungent', ' Subtle']",121
122,"[' Vibrancy', ' Mutedness']","[' Brilliant', ' Dull']",122
123,"[' Flow', ' Turbulence']","[' Smooth', ' Chaotic']",123
124,"[' Firmness', ' Squishiness']","[' Solid', ' Gelatinous']",124
125,"[' Spiciness', ' Mildness']","[' Zingy', ' Bland']",125
126,"[' Brightness', ' Dimness']","[' Dazzling', ' Faint']",126
127,"[' Crispness', ' Softness']","[' Crisp', ' Mushy']",127
128,"[' Speed', ' Slowness']","[' Rapid', ' Leisurely']",128
129,"[' Transparency', ' Opacity']","[' Clear', ' Opaque']",129
130,"[' Warmth', ' Coldness']","[' Cozy', ' Frigid']",130
131,"[' Freshness', ' Staleness']","[' Invigorating', ' Stale']",131
132,"[' Smoothness', ' Roughness']","[' Silky', ' Coarse']",132
133,"[' Loudness', ' Quietness']","[' Boisterous', ' Muted']",133
134,"[' Clarity', ' Fuzziness']","[' Distinct', ' Hazy']",134
135,"[' Agility', ' Clumsiness']","[' Nimble', ' Clumsy']",135
136,"[' Lightness', ' Heaviness']","[' Airy', ' Weighty']",136
137,"[' Dryness', ' Moistness']","[' Arid', ' Humid']",137
138,"[' Complexity', ' Simplicity']","[' Intricate', ' Simple']",138
139,"[' Tension', ' Relaxation']","[' Taut', ' Slack']",139
140,"[' Width', ' Narrowness']","[' Broad', ' Slender']",140
141,"[' Depth', ' Shallow']","[' Profound', ' Superficial']",141
142,"[' Hardness', ' Softness']","[' Rocky', ' Downy']",142
143,"[' Sweetness', ' Sourness']","[' Sugary', ' Tart']",143
144,"[' Salinity', ' Freshness']","[' Briny', ' Fresh']",144
145,"[' Earthiness', ' Airiness']","[' Grounded', ' Ethereal']",145
146,"[' Brightness', ' Dimness']","[' Radiant', ' Dull']",146
147,"[' Speed', ' Slowness']","[' Swift', ' Leisurely']",147
148,"[' Vibrancy', ' Mutedness']","[' Brilliant', ' Dull']",148
149,"[' Crispness', ' Softness']","[' Crisp', ' Mushy']",149
150,"[' Transparency', ' Opacity']","[' Clear', ' Opaque']",150
151,"[' Freshness', ' Staleness']","[' Invigorating', ' Stale']",151
152,"[' Smoothness', ' Roughness']","[' Silky', ' Coarse']",152
153,"[' Loudness', ' Quietness']","[' Boisterous', ' Muted']",153
154,"[' Clarity', ' Fuzziness']","[' Distinct', ' Hazy']",154
155,"[' Agility', ' Clumsiness']","[' Nimble', ' Clumsy']",155
156,"[' Lightness', ' Heaviness']","[' Airy', ' Weighty']",156
157,"[' Dryness', ' Moistness']","[' Arid', ' Humid']",157
158,"[' Complexity', ' Simplicity']","[' Intricate', ' Simple']",158
159,"[' Tension', ' Relaxation']","[' Taut', ' Slack']",159
160,"[' Width', ' Narrowness']","[' Broad', ' Slender']",160
161,"[' Depth', ' Shallow']","[' Profound', ' Superficial']",161
162,"[' Hardness', ' Softness']","[' Rocky', ' Downy']",162
163,"[' Sweetness', ' Sourness']","[' Sugary', ' Tart']",163
164,"[' Salinity', ' Freshness']","[' Briny', ' Fresh']",164
165,"[' Earthiness', ' Airiness']","[' Grounded', ' Ethereal']",165
166,"[' Temperature', ' Humidity']","[' Misty', ' Steamy']",166
167,"[' Frequency', ' Amplitude']","[' Melodic', ' Harmonic']",167
168,"[' Material', ' Weight']","[' Light', ' Dense']",168
169,"[' Speed', ' Direction']","[' Swift', ' Meandering']",169
170,"[' Tone', ' Pitch']","[' Resonant', ' Muffled']",170
171,"[' Transparency', ' Reflection']","[' Iridescent', ' Matte']",171
172,"[' Volume', ' Pressure']","[' Loud', ' Muted']",172
173,"[' Distance', ' Angle']","[' Far-off', ' Close-up']",173
174,"[' Flavor', ' Aroma']","[' Zesty', ' Mellow']",174
175,"[' Softness', ' Firmness']","[' Cushy', ' Rigid']",175
176,"[' Clarity', ' Focus']","[' Sharp', ' Blurry']",176
177,"[' Rhythm', ' Beat']","[' Syncopated', ' Steady']",177
178,"[' Warmth', ' Coolness']","[' Balmy', ' Chilly']",178
179,"[' Sound', ' Noise']","[' Harmonious', ' Discordant']",179
180,"[' Lightness', ' Darkness']","[' Radiant', ' Shadowy']",180
181,"[' Odor', ' Scent']","[' Pungent', ' Subtle']",181
182,"[' Vibrancy', ' Mutedness']","[' Brilliant', ' Dull']",182
183,"[' Flow', ' Turbulence']","[' Smooth', ' Chaotic']",183
184,"[' Firmness', ' Squishiness']","[' Solid', ' Gelatinous']",184
185,"[' Spiciness', ' Mildness']","[' Zingy', ' Bland']",185
186,"[' Brightness', ' Dimness']","[' Dazzling', ' Faint']",186
187,"[' Crispness', ' Softness']","[' Crisp', ' Mushy']",187
188,"[' Speed', ' Slowness']","[' Rapid', ' Leisurely']",188
189,"[' Transparency', ' Opacity']","[' Clear', ' Opaque']",189
190,"[' Warmth', ' Coldness']","[' Cozy', ' Frigid']",190
191,"[' Freshness', ' Staleness']","[' Invigorating', ' Stale']",191
192,"[' Smoothness', ' Roughness']","[' Silky', ' Coarse']",192
193,"[' Loudness', ' Quietness']","[' Boisterous', ' Muted']",193
194,"[' Clarity', ' Fuzziness']","[' Distinct', ' Hazy']",194
195,"[' Agility', ' Clumsiness']","[' Nimble', ' Clumsy']",195
196,"[' Lightness', ' Heaviness']","[' Airy', ' Weighty']",196
197,"[' Dryness', ' Moistness']","[' Arid', ' Humid']",197
198,"[' Complexity', ' Simplicity']","[' Intricate', ' Simple']",198
199,"[' Shape', ' Color']","[' Blooms', ' Petals']",199
200,"[' Size', ' Orientation']","[' Fliers', ' Gliders']",200
201,"[' Texture', ' Weight']","[' Rocks', ' Pebbles']",201
202,"[' Hue', ' Saturation']","[' Dunes', ' Oases']",202
203,"[' Angle', ' Curvature']","[' Sails', ' Keels']",203
204,"[' Length', ' Width']","[' Stripes', ' Polka']",204
205,"[' Pattern', ' Contrast']","[' Fluxes', ' Pulses']",205
206,"[' Material', ' Reflectance']","[' Shores', ' Banks']",206
207,"[' Frequency', ' Amplitude']","[' Chimes', ' Tones']",207
208,"[' Symmetry', ' Asymmetry']","[' Wings', ' Fins']",208
209,"[' Brightness', ' Saturation']","[' Corals', ' Reefs']",209
210,"[' Speed', ' Direction']","[' Gusts', ' Zephyrs']",210
211,"[' Pitch', ' Timbre']","[' Humms', ' Whistles']",211
212,"[' Orientation', ' Proximity']","[' Clusters', ' Galaxies']",212
213,"[' Roughness', ' Smoothness']","[' Ridges', ' Valleys']",213
214,"[' Transparency', ' Opacity']","[' Lagoons', ' Bays']",214
215,"[' Loudness', ' Pitch']","[' Rumbles', ' Chirps']",215
216,"[' Curvature', ' Torsion']","[' Coils', ' Springs']",216
217,"[' Temperature', ' Humidity']","[' Glaciers', ' Volcanos']",217
218,"[' Wavelength', ' Intensity']","[' Spectra', ' Auras']",218
219,"[' Size', ' Shape']","[' Craters', ' Mountains']",219
220,"[' Contrast', ' Saturation']","[' Mists', ' Fogs']",220
221,"[' Angle', ' Position']","[' Beams', ' Rays']",221
222,"[' Texture', ' Pattern']","[' Weaves', ' Braids']",222
223,"[' Speed', ' Acceleration']","[' Flows', ' Eddies']",223
224,"[' Hue', ' Chroma']","[' Blooms', ' Petals']",224
225,"[' Orientation', ' Inclination']","[' Sails', ' Masts']",225
226,"[' Material', ' Finish']","[' Pebbles', ' Rocks']",226
227,"[' Frequency', ' Phase']","[' Pulses', ' Beats']",227
228,"[' Symmetry', ' Asymmetry']","[' Wings', ' Tails']",228
229,"[' Brightness', ' Contrast']","[' Dunes', ' Oases']",229
230,"[' Length', ' Width']","[' Stripes', ' Polka']",230
231,"[' Pattern', ' Color']","[' Fluxes', ' Pulses']",231
232,"[' Shape', ' Size']","[' Shores', ' Banks']",232
233,"[' Angle', ' Curvature']","[' Coils', ' Springs']",233
234,"[' Transparency', ' Opacity']","[' Lagoons', ' Bays']",234
235,"[' Loudness', ' Timbre']","[' Humms', ' Whistles']",235
236,"[' Roughness', ' Smoothness']","[' Ridges', ' Valleys']",236
237,"[' Temperature', ' Humidity']","[' Glaciers', ' Volcanos']",237
238,"[' Wavelength', ' Intensity']","[' Spectra', ' Auras']",238
239,"[' Size', ' Shape']","[' Craters', ' Mountains']",239
240,"[' Contrast', ' Saturation']","[' Mists', ' Fogs']",240
241,"[' Angle', ' Position']","[' Beams', ' Rays']",241
242,"[' Texture', ' Pattern']","[' Weaves', ' Braids']",242
243,"[' Speed', ' Acceleration']","[' Flows', ' Eddies']",243
244,"[' Hue', ' Chroma']","[' Blooms', ' Petals']",244
245,"[' Orientation', ' Inclination']","[' Sails', ' Masts']",245
246,"[' Material', ' Finish']","[' Pebbles', ' Rocks']",246
247,"[' Frequency', ' Phase']","[' Pulses', ' Beats']",247
248,"[' Symmetry', ' Asymmetry']","[' Wings', ' Tails']",248
249,"[' Brightness', ' Contrast']","[' Dunes', ' Oases']",249
250,"[' Length', ' Width']","[' Stripes', ' Polka']",250
251,"[' Pattern', ' Color']","[' Fluxes', ' Pulses']",251
252,"[' Shape', ' Size']","[' Shores', ' Banks']",252
253,"[' Angle', ' Curvature']","[' Coils', ' Springs']",253
254,"[' Transparency', ' Opacity']","[' Lagoons', ' Bays']",254
255,"[' Loudness', ' Timbre']","[' Humms', ' Whistles']",255
256,"[' Roughness', ' Smoothness']","[' Ridges', ' Valleys']",256
257,"[' Temperature', ' Humidity']","[' Glaciers', ' Volcanos']",257
258,"[' Wavelength', ' Intensity']","[' Spectra', ' Auras']",258
259,"[' Size', ' Shape']","[' Craters', ' Mountains']",259
260,"[' Contrast', ' Saturation']","[' Mists', ' Fogs']",260
261,"[' Angle', ' Position']","[' Beams', ' Rays']",261
262,"[' Texture', ' Pattern']","[' Weaves', ' Braids']",262
263,"[' Speed', ' Acceleration']","[' Flows', ' Eddies']",263
264,"[' Hue', ' Chroma']","[' Blooms', ' Petals']",264
265,"[' Orientation', ' Inclination']","[' Sails', ' Masts']",265
266,"[' Material', ' Finish']","[' Pebbles', ' Rocks']",266
267,"[' Frequency', ' Phase']","[' Pulses', ' Beats']",267
268,"[' Symmetry', ' Asymmetry']","[' Wings', ' Tails']",268
269,"[' Brightness', ' Contrast']","[' Dunes', ' Oases']",269
270,"[' Length', ' Width']","[' Stripes', ' Polka']",270
271,"[' Pattern', ' Color']","[' Fluxes', ' Pulses']",271
272,"[' Shape', ' Size']","[' Shores', ' Banks']",272
273,"[' Angle', ' Curvature']","[' Coils', ' Springs']",273
274,"[' Transparency', ' Opacity']","[' Lagoons', ' Bays']",274
275,"[' Loudness', ' Timbre']","[' Humms', ' Whistles']",275
276,"[' Roughness', ' Smoothness']","[' Ridges', ' Valleys']",276
277,"[' Temperature', ' Humidity']","[' Glaciers', ' Volcanos']",277
278,"[' Wavelength', ' Intensity']","[' Spectra', ' Auras']",278
279,"[' Size', ' Shape']","[' Craters', ' Mountains']",279
280,"[' Contrast', ' Saturation']","[' Mists', ' Fogs']",280
281,"[' Angle', ' Position']","[' Beams', ' Rays']",281
282,"[' Texture', ' Pattern']","[' Weaves', ' Braids']",282
283,"[' Speed', ' Acceleration']","[' Flows', ' Eddies']",283
284,"[' Hue', ' Chroma']","[' Blooms', ' Petals']",284
285,"[' Orientation', ' Inclination']","[' Sails', ' Masts']",285
286,"[' Material', ' Finish']","[' Pebbles', ' Rocks']",286
287,"[' Frequency', ' Phase']","[' Pulses', ' Beats']",287
288,"[' Symmetry', ' Asymmetry']","[' Wings', ' Tails']",288
289,"[' Brightness', ' Contrast']","[' Dunes', ' Oases']",289
290,"[' Length', ' Width']","[' Stripes', ' Polka']",290
291,"[' Pattern', ' Color']","[' Fluxes', ' Pulses']",291
292,"[' Shape', ' Size']","[' Shores', ' Banks']",292
293,"[' Angle', ' Curvature']","[' Coils', ' Springs']",293
294,"[' Transparency', ' Opacity']","[' Lagoons', ' Bays']",294
295,"[' Loudness', ' Timbre']","[' Humms', ' Whistles']",295
296,"[' Roughness', ' Smoothness']","[' Ridges', ' Valleys']",296
297,"[' Temperature', ' Humidity']","[' Glaciers', ' Volcanos']",297
298,"[' Shape', ' Color']","[' Blooms', ' Fades']",298
299,"[' Size', ' Texture']","[' Ridges', ' Grooves']",299
300,"[' Orientation', ' Pattern']","[' Fluxes', ' Flares']",300
301,"[' Length', ' Width']","[' Scales', ' Stripes']",301
302,"[' Hue', ' Saturation']","[' Chromas', ' Tones']",302
303,"[' Speed', ' Direction']","[' Darts', ' Glides']",303
304,"[' Temperature', ' Humidity']","[' Heats', ' Chills']",304
305,"[' Material', ' Weight']","[' Masses', ' Loads']",305
306,"[' Frequency', ' Amplitude']","[' Beeps', ' Chimes']",306
307,"[' Brightness', ' Contrast']","[' Glimmers', ' Shines']",307
308,"[' Age', ' Rarity']","[' Antiques', ' Relics']",308
309,"[' Smell', ' Taste']","[' Aromas', ' Flavors']",309
310,"[' Sound', ' Pitch']","[' Chords', ' Melodies']",310
311,"[' Location', ' Elevation']","[' Peaks', ' Valleys']",311
312,"[' Time', ' Duration']","[' Moments', ' Eras']",312
313,"[' Speed', ' Agility']","[' Sprints', ' Marathons']",313
314,"[' Shape', ' Material']","[' Boulders', ' Pebbles']",314
315,"[' Color', ' Luminance']","[' Glows', ' Fades']",315
316,"[' Frequency', ' Wavelength']","[' Radios', ' Microwaves']",316
317,"[' Texture', ' Temperature']","[' Frost', ' Flames']",317
318,"[' Weight', ' Volume']","[' Tons', ' Ounces']",318
319,"[' Orientation', ' Angle']","[' Leans', ' Tilt']",319
320,"[' Pattern', ' Size']","[' Mosaics', ' Tiles']",320
321,"[' Hue', ' Saturation']","[' Pastels', ' Neon']",321
322,"[' Brightness', ' Contrast']","[' Sparkles', ' Dim']",322
323,"[' Smell', ' Intensity']","[' Scents', ' Stenches']",323
324,"[' Sound', ' Volume']","[' Roars', ' Whispers']",324
325,"[' Location', ' Distance']","[' Proximities', ' Remotes']",325
326,"[' Time', ' Speed']","[' Sprints', ' Crawls']",326
327,"[' Age', ' Condition']","[' Antiques', ' Relics']",327
328,"[' Material', ' Texture']","[' Fabrics', ' Leathers']",328
329,"[' Shape', ' Size']","[' Globes', ' Ovals']",329
330,"[' Color', ' Hue']","[' Rainbows', ' Monochromes']",330
331,"[' Frequency', ' Amplitude']","[' Vibrations', ' Oscillations']",331
332,"[' Speed', ' Acceleration']","[' Blasts', ' Coasts']",332
333,"[' Temperature', ' Humidity']","[' Climates', ' Weather']",333
334,"[' Weight', ' Mass']","[' Boulders', ' Pebbles']",334
335,"[' Orientation', ' Incline']","[' Ramps', ' Stairs']",335
336,"[' Pattern', ' Complexity']","[' Fractals', ' Geometries']",336
337,"[' Brightness', ' Luminance']","[' Dazzles', ' Dims']",337
338,"[' Smell', ' Odor']","[' Fragrances', ' Stenches']",338
339,"[' Sound', ' Pitch']","[' Melodies', ' Harmonies']",339
340,"[' Location', ' Elevation']","[' Mountains', ' Valleys']",340
341,"[' Time', ' Duration']","[' Eras', ' Moments']",341
342,"[' Age', ' Rarity']","[' Heirlooms', ' Artifacts']",342
343,"[' Material', ' Density']","[' Solids', ' Liquids']",343
344,"[' Shape', ' Form']","[' Sculptures', ' Statues']",344
345,"[' Color', ' Saturation']","[' Vivids', ' Muted']",345
346,"[' Frequency', ' Wavelength']","[' Radios', ' Microwaves']",346
347,"[' Texture', ' Temperature']","[' Fires', ' Icicles']",347
348,"[' Weight', ' Volume']","[' Liters', ' Gallons']",348
349,"[' Orientation', ' Angle']","[' Tilts', ' Leans']",349
350,"[' Pattern', ' Size']","[' Mosaics', ' Murals']",350
351,"[' Hue', ' Luminance']","[' Glimmers', ' Shines']",351
352,"[' Brightness', ' Contrast']","[' Sparkles', ' Dim']",352
353,"[' Smell', ' Intensity']","[' Scents', ' Odors']",353
354,"[' Sound', ' Volume']","[' Blasts', ' Whispers']",354
355,"[' Location', ' Distance']","[' Proximities', ' Remotes']",355
356,"[' Time', ' Speed']","[' Sprints', ' Crawls']",356
357,"[' Age', ' Condition']","[' Antiques', ' Relics']",357
358,"[' Material', ' Texture']","[' Fabrics', ' Leathers']",358
359,"[' Shape', ' Size']","[' Globes', ' Ovals']",359
360,"[' Color', ' Hue']","[' Rainbows', ' Monochromes']",360
361,"[' Frequency', ' Amplitude']","[' Vibrations', ' Oscillations']",361
362,"[' Speed', ' Acceleration']","[' Blasts', ' Coasts']",362
363,"[' Temperature', ' Humidity']","[' Climates', ' Weather']",363
364,"[' Weight', ' Mass']","[' Tons', ' Ounces']",364
365,"[' Orientation', ' Incline']","[' Ramps', ' Stairs']",365
366,"[' Pattern', ' Complexity']","[' Fractals', ' Geometries']",366
367,"[' Brightness', ' Luminance']","[' Dazzles', ' Dims']",367
368,"[' Smell', ' Odor']","[' Fragrances', ' Stenches']",368
369,"[' Sound', ' Pitch']","[' Melodies', ' Harmonies']",369
370,"[' Location', ' Elevation']","[' Mountains', ' Valleys']",370
371,"[' Time', ' Duration']","[' Eras', ' Moments']",371
372,"[' Age', ' Rarity']","[' Heirlooms', ' Artifacts']",372
373,"[' Material', ' Density']","[' Solids', ' Liquids']",373
374,"[' Shape', ' Form']","[' Sculptures', ' Statues']",374
375,"[' Color', ' Saturation']","[' Vivids', ' Muted']",375
376,"[' Frequency', ' Wavelength']","[' Radios', ' Microwaves']",376
377,"[' Texture', ' Temperature']","[' Fires', ' Icicles']",377
378,"[' Weight', ' Volume']","[' Liters', ' Gallons']",378
379,"[' Orientation', ' Angle']","[' Tilts', ' Leans']",379
380,"[' Pattern', ' Size']","[' Mosaics', ' Murals']",380
381,"[' Hue', ' Luminance']","[' Glimmers', ' Shines']",381
382,"[' Brightness', ' Contrast']","[' Sparkles', ' Dim']",382
383,"[' Smell', ' Intensity']","[' Scents', ' Odors']",383
384,"[' Sound', ' Volume']","[' Blasts', ' Whispers']",384
385,"[' Location', ' Distance']","[' Proximities', ' Remotes']",385
386,"[' Time', ' Speed']","[' Sprints', ' Crawls']",386
387,"[' Age', ' Condition']","[' Antiques', ' Relics']",387
388,"[' Material', ' Texture']","[' Fabrics', ' Leathers']",388
389,"[' Shape', ' Size']","[' Globes', ' Ovals']",389
390,"[' Color', ' Hue']","[' Rainbows', ' Monochromes']",390
391,"[' Frequency', ' Amplitude']","[' Vibrations', ' Oscillations']",391
392,"[' Speed', ' Acceleration']","[' Blasts', ' Coasts']",392
393,"[' Temperature', ' Humidity']","[' Climates', ' Weather']",393
394,"[' Weight', ' Mass']","[' Tons', ' Ounces']",394
395,"[' Orientation', ' Incline']","[' Ramps', ' Stairs']",395
396,"[' Pattern', ' Complexity']","[' Fractals', ' Geometries']",396
397,"[' Brightness', ' Luminance']","[' Dazzles', ' Dims']",397
398,"[' Color Hue', ' Shape Angle']","[' Fruits', ' Vegetables']",398
399,"[' Leaf Shape', ' Stem Length']","[' Trees', ' Shrubs']",399
400,"[' Sound Frequency', ' Rhythm Pattern']","[' Instruments', ' Voices']",400
401,"[' Body Shape', ' Tail Length']","[' Mammals', ' Reptiles']",401
402,"[' Font Style', ' Text Size']","[' Headings', ' Paragraphs']",402
403,"[' Wing Shape', ' Beak Length']","[' Birds', ' Insects']",403
404,"[' Flavor Profile', ' Aroma Strength']","[' Fruits', ' Cheeses']",404
405,"[' Hair Texture', ' Face Shape']","[' Humans', ' Animals']",405
406,"[' Wave Pattern', ' Water Depth']","[' Oceans', ' Lakes']",406
407,"[' Note Duration', ' Pitch Range']","[' Melodies', ' Chords']",407
408,"[' Petal Color', ' Sepal Length']","[' Flowers', ' Weeds']",408
409,"[' Climate Zone', ' Elevation Level']","[' Deserts', ' Forests']",409
410,"[' Vehicle Type', ' Engine Size']","[' Cars', ' Trucks']",410
