task,trial,condition,choice,correct_choice,category,all_features,stimulus_id,feature1,feature2,feature3,feature4,feature5,feature6,prototype_feature1,prototype_feature2,prototype_feature3,prototype_feature4,prototype_feature5,prototype_feature6,participant
0,50,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,51,1,1,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,52,1,0,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,53,1,0,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,54,1,1,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,55,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,56,1,1,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,57,1,1,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,58,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,59,1,0,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,60,1,1,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,61,1,1,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,62,1,0,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,63,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,64,1,0,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,65,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,66,1,0,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,67,1,1,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,68,1,0,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,69,1,1,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,70,1,1,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,71,1,0,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,72,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,73,1,1,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,74,1,0,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,75,1,1,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,76,1,0,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,77,1,1,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,78,1,0,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,79,1,0,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,80,1,1,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,81,1,1,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,82,1,1,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,83,1,0,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,84,1,1,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,85,1,0,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,86,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,87,1,1,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,88,1,0,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,89,1,1,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,90,1,1,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,91,1,0,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,92,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,93,1,0,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,94,1,1,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,95,1,1,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,96,1,1,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,97,1,1,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,98,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,99,1,0,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,100,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,101,1,1,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,102,1,0,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,103,1,1,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,104,1,0,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,105,1,0,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,106,1,1,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,107,1,1,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,108,1,0,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,109,1,0,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,110,1,0,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,111,1,0,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,112,1,0,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,113,1,0,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,114,1,0,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,115,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,116,1,0,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,117,1,0,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,118,1,1,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,119,1,0,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,120,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,121,1,0,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,122,1,0,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,123,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,124,1,1,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,125,1,0,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,126,1,0,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,127,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,128,1,0,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,129,1,0,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,130,1,0,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,131,1,0,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,132,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,133,1,1,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,134,1,1,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,135,1,1,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,136,1,1,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,137,1,1,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,138,1,1,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,139,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,140,1,1,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,141,1,1,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,142,1,1,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,143,1,0,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,144,1,0,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,145,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,146,1,1,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,147,1,0,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,148,1,0,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,149,1,1,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,150,1,0,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,151,1,1,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,152,1,0,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,153,1,1,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,154,1,1,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,155,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,156,1,1,1,2,[1 0 1 1 1 1],9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,157,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,158,1,0,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,159,1,0,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,160,1,1,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,161,1,1,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,162,1,1,1,2,[1 1 0 1 1 1],10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,163,1,0,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,164,1,1,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,165,1,0,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,166,1,1,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,167,1,0,0,1,[0 0 0 0 0 1],5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,168,1,0,0,1,[1 1 1 1 0 1],6,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,169,1,0,1,2,[1 1 1 1 1 1],7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,170,1,1,0,1,[0 0 1 0 0 0],3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,171,1,1,0,1,[1 0 0 0 0 0],1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,172,1,0,1,2,[0 1 1 1 1 1],8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,173,1,1,0,1,[0 1 0 0 0 0],2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,174,1,0,1,2,[0 0 0 1 0 0],13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,175,1,0,1,2,[1 1 1 1 1 0],12,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,176,1,0,1,2,[1 1 1 0 1 1],11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
0,177,1,1,0,1,[0 0 0 0 0 0],0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,178,1,0,0,1,[0 0 0 0 1 0],4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
